ID,generation,school1,major type,major1_1,major1_2,major_data,job,class1,class2,class3,class4,re_registration,contest_award,nationality,inflow_route,whyBDA,what_to_gain,hope_for_group,previous_class_3,previous_class_4,previous_class_5,previous_class_6,previous_class_7,major_field,desired_career_path,completed_semester,project_type,time_input,desired_job,certificate_acquisition,desired_certificate,certificate_study_period,desired_job_except_data,incumbents_level,incumbents_lecture,incumbents_company_level,incumbents_lecture_type,incumbents_lecture_scale,incumbents_lecture_scale_reason,interested_company,expected_domain,contest_participitation,idea_contest,onedayclass_topic,withdrawal
TRAIN_0010,8,cb9a087b0664870438b30d0763f76770d4b1a71d6694ed80ef3b6ead5e19a965,단일 전공,IT(컴퓨터 공학 포함),,False,대학생,6,,,,아니요,,내국인,에브리타임,"BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등)",프로젝트 경험,네. 온라인으로 참여하고 싶어요,,,,,,공학 (컴퓨터 공학 제외),취업,대학교 이수학기 5학기 이상,팀,1.5,아직은 직무에 관해서 확실하게 정하지않아서 학회수업과 전공들으면서 생각해볼 예정입니다.,준비중: ADsP,"SQLD, 만약에 직무를 데이터분석쪽으로 잡게 된다면 빅데이터 분석기사도 고려중입니다. ",시험일 전 4주 (2/1 ~ 2/27),-,시니어 (10년차 ~),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,좀 더 다양한 분야에 있는 현직자분들의 강의를 들으면서 시야의 폭을 넓히고싶습니다,삼성ds 하이닉스 TEL semes 등,반도체,,,반도체 관련 직무에서 사용되는 데이터분석과 관련된 강의를 들어보고 싶습니다.,0
TRAIN_0011,8,f9b3fde8c9af1daccfab54aa9c3d803bbac0ccf04a708086b9448af47206afe1,"복수 전공 ( 다중전공, 이중전공 포함 )",사회과학,IT(컴퓨터 공학 포함),False,취준생,1,9.0,,,아니요,,내국인,인스타그램,혼자 공부하기 어려워서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,"공학 (컴퓨터 공학 제외), 경영학",대학원 진학,,개인,3.0,데이터 분석가,기타,"ADsP, 태블로 관련 자격증",시험일 전 4주 (2/1 ~ 2/27),"인사, HR",시니어 (10년차 ~),산업 트렌드 (예시: 챗 GPT로 인한 직무 변화),해외 기업 (빅테크),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,현직자 분과 원활한 소통에 적절한 인원,정림건축종합건축사사무소 희림종합건축사사무소,환경 및 에너지,,,데이터 시각화,1
TRAIN_0012,8,e48a4a96d49a77abaebbe5ea399f1b98d31d7075b11844527ce2c04aba3b31ed,"복수 전공 ( 다중전공, 이중전공 포함 )",사회과학,자연과학,False,대학생,4,,,,아니요,,내국인,에브리타임,현직자의 강의를 듣고 싶어서,데이터 분석 역량,아니요. 개인적으로 학회 활동을 하고 싶어요,,,,,,사회과학,대학원 진학,대학교 이수학기 4학기 이하,개인,2.0,데이터 분석가,없음,빅데이터 분석 기사,시험일 전 4주 (2/1 ~ 2/27),"인사, HR",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,적당한 인원이 좋을 것 같아서,Sk,사회문제,,,R 데이터분석,1
TRAIN_0013,8,824ee9c7ca1959cf309fbb26795c28318e2cc1d6152b589eb079560e4ea7be45,단일 전공,IT(컴퓨터 공학 포함),,False,대학생,2,,,,아니요,,내국인,에브리타임,"학회 가입 시 코딩 테스트, 면접 등을 보지 않아서",프로젝트 경험,네. 온라인으로 참여하고 싶어요,,,,,,공학 (컴퓨터 공학 제외),취업,대학교 이수학기 5학기 이상,팀,2.0,아직 미정,없음,SQLD,접수일 전 4주 ( 1/1~1/27 ),바이오,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,부담없이 들을 수 있는 정도의 수 인거 같아서,"코오롱, 삼성",의료/헬스케어,,,.,1
TRAIN_0014,8,854beb619660d235081f31a1211722c2be58489c02a9d4b16c1a3fba110cad12,단일 전공,자연과학,,True,대학생,1,,,,예,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,해당없음,해당없음,해당없음,해당없음,데분기,경제통상학,취업,대학교 이수학기 4학기 이하,팀,1.0,인공지능 전문가,없음,빅데이터 분석 기사,접수일 전 4주 ( 1/1~1/27 ),AI,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,인원이적당,잘모르겠습니다,환경 및 에너지,,,잘모르겠습니다,1
TRAIN_0015,8,c7c76d1a4c9d719d17c899a3ca9de153452a22163fe083fb53d5633126c2503d,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),False,대학생,1,5.0,,,아니요,,내국인,인스타그램,혼자 공부하기 어려워서,프로젝트 경험,네. 오프라인으로 참여하고 싶어요,,,,,,IT (컴퓨터 공학 포함),취업,대학교 이수학기 5학기 이상,팀,2.0,데이터 분석가,SQLD,"ADsP, SQLD",접수일 전 4주 ( 1/1~1/27 ),"마케팅, 광고, MD",시니어 (10년차 ~),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),해외 기업 (빅테크),"온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,다양한 의견을 듣고싶어서,없음,금융,3645a3aa2ed6be68455b80882aea4f1abae695327517aa2123882784d821b600,,아직 초보라 있는거잘들을게요,1
TRAIN_0016,8,48c21babe9214203a621dbd2cace7c2f3e20506a8418e5c3104b78ed5feac467,"복수 전공 ( 다중전공, 이중전공 포함 )",인문학,IT(컴퓨터 공학 포함),False,대학생,8,,,,예,,내국인,기존 학회원 또는 운영진,"BDA 학회원만의 혜택을 누리고 싶어서(현직자 강연, 잡 페스티벌, 기업연계 공모전 등)",공모전 경험,네. 오프라인으로 참여하고 싶어요,해당없음,해당없음,해당없음,해당없음,데분기,"IT (컴퓨터 공학 포함), 인문학",취업,대학교 이수학기 5학기 이상,팀,3.0,데이터 사이언티스트,"ADsP, SQLD, 정보처리기사","빅데이터 분석 기사, 구글 애널리스트",시험일 전 4주 (2/1 ~ 2/27),"금융, 보험",주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,다양한 선택지로 원하는 특강을 듣고 싶습니다.,네이버 / 신한은행 등,금융,,,.,1
TRAIN_0017,8,c595f7cc8171e151a3415be5b075fc0ae06289b2c42892326cdbc7eba7636aff,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,4,,,,아니요,,내국인,"대외활동 사이트(링커리어, 캠퍼스픽, 캠퍼즈, 위비티 등)",혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,IT (컴퓨터 공학 포함),취업,대학교 이수학기 5학기 이상,개인,5.0,소프트웨어 개발자,없음,"SQLD, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),AI,시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,다양한 현직자의 이야기를 들어보고싶으며 많고 다양한 사람들이 듣기때문에 다양한 질문이 나올것이라 생각이 들었다.,아직 없음,아직 없음,,,없음,1
TRAIN_0018,8,48c21babe9214203a621dbd2cace7c2f3e20506a8418e5c3104b78ed5feac467,"복수 전공 ( 다중전공, 이중전공 포함 )",경영학,IT(컴퓨터 공학 포함),False,대학생,7,8.0,,,아니요,,내국인,에브리타임,시간적으로 부담이 없어서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,"IT (컴퓨터 공학 포함), 경제통상학",취업,대학교 이수학기 4학기 이하,팀,2.0,데이터 사이언티스트,SQLD,"ADsP, 빅데이터 분석 기사",시험일 전 4주 (2/1 ~ 2/27),"기획, 전략",시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,강의를 들을 때 너무 큰 강의실은 집중에 큰 도움이 안된다 생각한다,네이버,비즈니스,a76efb572ab7d0350de78b975989c2b2b2261a6e0792f75d597eb1c53b8c90ac,,Sql,0
TRAIN_0019,8,94a678c60366ea86d72824cc06ac5f2412a365124cb044200c5cc96087d93efb,"복수 전공 ( 다중전공, 이중전공 포함 )",자연과학,IT(컴퓨터 공학 포함),True,대학생,4,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,자연과학,취업,대학교 이수학기 5학기 이상,팀,1.0,데이터 분석가,SQLD,"ADsP, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증",시험일 전 4주 (2/1 ~ 2/27),"물류, 무역",주니어 (0~3년차),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,인원이 너무 적으면 부담스러울 것 같고 어느 정도 인원이 있으면 여러 종류의 질문과 그에 대한 응답도 같이 들을 수 있을 것 같아서,코트라,자연어 처리 및 이미지 분석,,,자연어 처리,0
TRAIN_0020,8,b6abc82e31329cea19b6cce7783b27a3a90637c403db8e68f3ce9f36eaa2b98f,"복수 전공 ( 다중전공, 이중전공 포함 )",의약학,의약학,False,대학생,1,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,아니요. 개인적으로 학회 활동을 하고 싶어요,,,,,,자연과학,대학원 진학,대학교 이수학기 4학기 이하,개인,2.0,자연과학계열 연구자,없음,빅데이터 분석 기사,시험일 전 4주 (2/1 ~ 2/27),바이오,시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,집중하기에 적당한 규모라고 생각해서,없음,환경 및 에너지,,,아직 잘 모르겠습니다,1
TRAIN_0021,8,3c219ed4246dcbe55286e2af765076e2d31eacecd543197c9fc88c91fc1895a9,"복수 전공 ( 다중전공, 이중전공 포함 )",자연과학,IT(컴퓨터 공학 포함),False,대학생,6,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,"IT (컴퓨터 공학 포함), 자연과학",취업,대학교 이수학기 5학기 이상,개인,1.0,인공지능 전문가,없음,"ADsP, SQLD, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),"기획, 전략",시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),해외 기업 (빅테크),온라인,100명 이상의 리스너와 10명 이상의 현직자,온라인이라는 가정 하에 인원이 많아도 강연을 듣는 게 크게 부담이 없을 것 같고 질문도 채팅창을 이용할테니 혼선이 생길 것 같지 않다.,없습니다.,AI,,,잘 모르겠다.,1
TRAIN_0022,8,f9b3fde8c9af1daccfab54aa9c3d803bbac0ccf04a708086b9448af47206afe1,단일 전공,경영학,,False,대학생,4,5.0,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,경영학,취업,대학교 이수학기 4학기 이하,팀,2.0,데이터 분석가,없음,"ADsP, 빅데이터 분석 기사",시험일 전 4주 (2/1 ~ 2/27),"인사, HR",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,인원이 너무 적으면 부담스러울 것 같습니다,구글,사회문제,,,C언어 기초,1
TRAIN_0023,8,e6ec3da53883e85caa228b7304a8e253523a26a14c74b2c638678e100ad6ea23,"복수 전공 ( 다중전공, 이중전공 포함 )",경제통상학,IT(컴퓨터 공학 포함),False,대학생,4,,,,아니요,,내국인,에브리타임,현직자의 강의를 듣고 싶어서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,"IT (컴퓨터 공학 포함), 경제통상학",취업,대학교 이수학기 4학기 이하,팀,1.5,데이터 분석가,없음,빅데이터 분석 기사,접수일 전 4주 ( 1/1~1/27 ),"금융, 보험",시니어 (10년차 ~),산업 트렌드 (예시: 챗 GPT로 인한 직무 변화),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,너무 적으면 부담스럽고 너무 많으면 별로다,이재용,금융,,,C언어 궁금합니다.,0
TRAIN_0024,8,d99c2148b6f16ccd86e297c337fab20765e5da5547da75b9e7c4c69473bdcf4e,단일 전공,IT(컴퓨터 공학 포함),,True,대학생,6,,,,아니요,,내국인,인스타그램,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,공학 (컴퓨터 공학 제외),대학원 진학,대학교 이수학기 5학기 이상,팀,5.0,데이터 사이언티스트,없음,"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사",시험일 전 4주 (2/1 ~ 2/27),개발,시니어 (10년차 ~),직무 강의 (예시: 실무 진행 방식 및 직무 준비생을 위한 팁),국내 빅테크 IT 계열 (네카쿠라배당토),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,질문할 수 있을 정도의 규모인 것 같아서,네이버,금융,2cd174bf27be731810717fab8c9331e6aa842d71a5162cd4f2b3d0c48b0e452c,,데이터 사이언티스트 고급,0
TRAIN_0025,8,854beb619660d235081f31a1211722c2be58489c02a9d4b16c1a3fba110cad12,"복수 전공 ( 다중전공, 이중전공 포함 )",IT(컴퓨터 공학 포함),IT(컴퓨터 공학 포함),False,대학생,8,,,,예,,내국인,기존 학회원 또는 운영진,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,해당없음,해당없음,해당없음,해당없음,데분기,"IT (컴퓨터 공학 포함), 공학 (컴퓨터 공학 제외)",취업,대학교 이수학기 5학기 이상,팀,2.0,데이터 분석가,없음,"ADsP, 빅데이터 분석 기사",시험일 전 4주 (2/1 ~ 2/27),"금융, 보험",주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),"국내 대기업 IT 계열 (금융, 제조 ...)","온,오프라인 동시",100명 이상의 리스너와 10명 이상의 현직자,다양한 사람의 이야기를 듣고 싶어서,쿠팡 과 같은 물류기업,교통,,,없음,1
TRAIN_0026,8,eaeef2c7e968f5f92fe7d2917c281a464bcd22dab4195183c447d6361a838483,단일 전공,사회과학,,False,대학생,5,,,,아니요,,내국인,지인 추천,혼자 공부하기 어려워서,데이터 분석 역량,아니요. 개인적으로 학회 활동을 하고 싶어요,,,,,,IT (컴퓨터 공학 포함),취업,대학교 이수학기 4학기 이하,개인,8.0,데이터 사이언티스트,없음,"빅데이터 분석 기사, 정보처리기사",접수일 전 4주 ( 1/1~1/27 ),"기획, 전략",주니어 (0~3년차),산업 트렌드 (예시: 챗 GPT로 인한 직무 변화),"국내 대기업 IT 계열 (금융, 제조 ...)",온라인,3~50명 내외의 강의 리스너와 1명의 현직자,단체로 좋은 강의를 듣는다면 좋을 것이다.,아직 없다.,AI,,,아직 없어요.,1
TRAIN_0027,8,18399fd8aca17594581f066bb61468cd2c4a1342e73f77e65847e58e2cf8682f,"복수 전공 ( 다중전공, 이중전공 포함 )",인문학,IT(컴퓨터 공학 포함),False,대학생,1,,,,아니요,,내국인,에브리타임,혼자 공부하기 어려워서,데이터 분석 역량,네. 오프라인으로 참여하고 싶어요,,,,,,인문학,대학원 진학,대학교 이수학기 5학기 이상,팀,2.5,데이터 사이언티스트,없음,"빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증",접수일 전 4주 ( 1/1~1/27 ),AI,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),해외 기업 (빅테크),"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,"인원이 적어야 집중할 수 있지만, 10명 내외는 부담스럽습니다.",구글,AI,,,음..일단은 없습니다.,0
TRAIN_0028,8,18399fd8aca17594581f066bb61468cd2c4a1342e73f77e65847e58e2cf8682f,단일 전공,IT(컴퓨터 공학 포함),기타,True,대학생,4,,,,아니요,,내국인,에브리타임,현직자의 강의를 듣고 싶어서,데이터 분석 역량,네. 온라인으로 참여하고 싶어요,,,,,,IT (컴퓨터 공학 포함),대학원 진학,대학교 이수학기 4학기 이하,팀,3.0,인공지능 전문가,없음,없음,접수일 전 4주 ( 1/1~1/27 ),개발,주니어 (0~3년차),커리어 패스 과정 (예시: 비전공자/전공자의 취업 준비 및 이직 과정),스타트업 C-level,"온,오프라인 동시",3~50명 내외의 강의 리스너와 1명의 현직자,Q&A시 다양한 질문과 답변을 들을 수 있어서,토스,자연어 처리 및 이미지 분석,,,없음,1
