ID,withdrawal
TRAIN_0269,1
TRAIN_0270,0
TRAIN_0271,1
TRAIN_0272,1
TRAIN_0273,0
TRAIN_0274,0
TRAIN_0275,1
TRAIN_0276,1
TRAIN_0277,0
TRAIN_0278,1
TRAIN_0279,1
TRAIN_0280,1
TRAIN_0281,1
TRAIN_0282,0
TRAIN_0283,0
TRAIN_0284,1
TRAIN_0285,0
TRAIN_0286,1
TRAIN_0287,1
TRAIN_0288,1
TRAIN_0289,1
TRAIN_0290,1
TRAIN_0291,1
TRAIN_0292,1
TRAIN_0293,0
TRAIN_0294,0
TRAIN_0295,1
TRAIN_0296,1
TRAIN_0297,1
TRAIN_0298,1
TRAIN_0299,0
TRAIN_0300,0
TRAIN_0301,1
TRAIN_0302,0
TRAIN_0303,1
TRAIN_0304,1
TRAIN_0305,1
TRAIN_0306,1
TRAIN_0307,0
TRAIN_0308,0
TRAIN_0309,0
TRAIN_0310,0
TRAIN_0311,1
TRAIN_0312,1
TRAIN_0313,1
TRAIN_0314,1
TRAIN_0315,1
TRAIN_0316,1
TRAIN_0317,0
TRAIN_0318,1
TRAIN_0319,1
TRAIN_0320,0
TRAIN_0321,1
TRAIN_0322,1
TRAIN_0323,1
TRAIN_0324,1
TRAIN_0325,0
TRAIN_0326,1
TRAIN_0327,0
TRAIN_0328,1
TRAIN_0329,1
TRAIN_0330,1
TRAIN_0331,1
TRAIN_0332,1
TRAIN_0333,1
TRAIN_0334,0
TRAIN_0335,1
TRAIN_0336,1
TRAIN_0337,1
TRAIN_0338,1
TRAIN_0339,0
TRAIN_0340,1
TRAIN_0341,1
TRAIN_0342,0
TRAIN_0343,0
TRAIN_0344,1
TRAIN_0345,1
TRAIN_0346,1
TRAIN_0347,1
TRAIN_0348,0
TRAIN_0349,1
TRAIN_0350,0
TRAIN_0351,1
TRAIN_0352,1
TRAIN_0353,1
TRAIN_0354,1
TRAIN_0355,1
TRAIN_0356,1
TRAIN_0357,0
TRAIN_0358,0
TRAIN_0359,0
TRAIN_0360,1
TRAIN_0361,1
TRAIN_0362,1
TRAIN_0363,0
TRAIN_0364,1
TRAIN_0365,1
TRAIN_0366,1
TRAIN_0367,1
TRAIN_0368,1
TRAIN_0369,1
TRAIN_0370,0
TRAIN_0371,0
TRAIN_0372,0
TRAIN_0373,1
TRAIN_0374,0
TRAIN_0375,0
TRAIN_0376,1
TRAIN_0377,0
TRAIN_0378,1
TRAIN_0379,1
TRAIN_0380,1
TRAIN_0381,0
TRAIN_0382,1
TRAIN_0383,0
TRAIN_0384,0
TRAIN_0385,1
TRAIN_0386,1
TRAIN_0387,1
TRAIN_0388,1
TRAIN_0389,0
TRAIN_0390,1
TRAIN_0391,1
TRAIN_0392,1
TRAIN_0393,0
TRAIN_0394,1
TRAIN_0395,0
TRAIN_0396,1
TRAIN_0397,1
TRAIN_0398,0
TRAIN_0399,1
TRAIN_0400,1
TRAIN_0401,1
TRAIN_0402,1
TRAIN_0403,1
TRAIN_0404,1
TRAIN_0405,1
TRAIN_0406,1
TRAIN_0407,1
TRAIN_0408,1
TRAIN_0409,0
TRAIN_0410,0
TRAIN_0411,0
TRAIN_0412,1
TRAIN_0413,1
TRAIN_0414,1
TRAIN_0415,1
TRAIN_0416,0
TRAIN_0417,1
TRAIN_0418,1
TRAIN_0419,1
TRAIN_0420,1
TRAIN_0421,1
TRAIN_0422,0
TRAIN_0423,1
TRAIN_0424,1
TRAIN_0425,1
TRAIN_0426,0
TRAIN_0427,1
TRAIN_0428,1
TRAIN_0429,1
TRAIN_0430,1
TRAIN_0431,1
TRAIN_0432,0
TRAIN_0433,1
TRAIN_0434,1
TRAIN_0435,1
TRAIN_0436,1
TRAIN_0437,1
TRAIN_0438,1
TRAIN_0439,0
TRAIN_0440,1
TRAIN_0441,1
TRAIN_0442,1
TRAIN_0443,0
TRAIN_0444,0
TRAIN_0445,1
TRAIN_0446,1
TRAIN_0447,0
TRAIN_0448,1
TRAIN_0449,1
TRAIN_0450,0
TRAIN_0451,0
TRAIN_0452,1
TRAIN_0453,1
TRAIN_0454,0
TRAIN_0455,1
TRAIN_0456,1
TRAIN_0457,1
TRAIN_0458,0
TRAIN_0459,1
TRAIN_0460,0
TRAIN_0461,0
TRAIN_0462,1
TRAIN_0463,0
TRAIN_0464,0
TRAIN_0465,1
TRAIN_0466,1
TRAIN_0467,1
TRAIN_0468,0
TRAIN_0469,0
TRAIN_0470,1
TRAIN_0471,0
TRAIN_0472,1
TRAIN_0473,1
TRAIN_0474,0
TRAIN_0475,1
TRAIN_0476,0
TRAIN_0477,1
TRAIN_0478,1
TRAIN_0479,0
TRAIN_0480,1
TRAIN_0481,1
TRAIN_0482,1
TRAIN_0483,1
TRAIN_0484,1
TRAIN_0485,1
TRAIN_0486,1
TRAIN_0487,0
TRAIN_0488,1
TRAIN_0489,0
TRAIN_0490,1
TRAIN_0491,1
TRAIN_0492,1
TRAIN_0493,1
TRAIN_0494,1
TRAIN_0495,1
TRAIN_0496,1
TRAIN_0497,1
TRAIN_0498,0
TRAIN_0499,1
TRAIN_0500,0
TRAIN_0501,0
TRAIN_0502,1
TRAIN_0503,1
TRAIN_0504,0
TRAIN_0505,0
TRAIN_0506,1
TRAIN_0507,0
TRAIN_0508,1
TRAIN_0509,1
TRAIN_0510,1
TRAIN_0511,1
TRAIN_0512,0
TRAIN_0513,1
TRAIN_0514,0
TRAIN_0515,1
TRAIN_0516,0
TRAIN_0517,0
TRAIN_0518,0
TRAIN_0519,1
TRAIN_0520,1
TRAIN_0521,1
TRAIN_0522,1
TRAIN_0523,0
TRAIN_0524,1
TRAIN_0525,1
TRAIN_0526,0
TRAIN_0527,0
TRAIN_0528,0
TRAIN_0529,0
TRAIN_0530,1
TRAIN_0531,1
TRAIN_0532,1
TRAIN_0533,0
TRAIN_0534,1
TRAIN_0535,1
TRAIN_0536,1
TRAIN_0537,1
TRAIN_0538,0
TRAIN_0539,1
TRAIN_0540,0
TRAIN_0541,1
TRAIN_0542,1
TRAIN_0543,1
TRAIN_0544,1
TRAIN_0545,0
TRAIN_0546,1
TRAIN_0547,1
TRAIN_0548,1
TRAIN_0549,1
TRAIN_0550,0
TRAIN_0551,0
TRAIN_0552,1
TRAIN_0553,1
TRAIN_0554,1
TRAIN_0555,1
TRAIN_0556,1
TRAIN_0557,1
TRAIN_0558,1
TRAIN_0559,1
TRAIN_0560,1
TRAIN_0561,1
TRAIN_0562,1
TRAIN_0563,0
TRAIN_0564,1
TRAIN_0565,1
TRAIN_0566,1
TRAIN_0567,0
TRAIN_0568,1
TRAIN_0569,0
TRAIN_0570,0
TRAIN_0571,1
TRAIN_0572,1
TRAIN_0573,1
TRAIN_0574,0
TRAIN_0575,1
TRAIN_0576,0
TRAIN_0577,1
TRAIN_0578,0
TRAIN_0579,1
TRAIN_0580,0
TRAIN_0581,0
TRAIN_0582,1
TRAIN_0583,1
TRAIN_0584,0
TRAIN_0585,1
TRAIN_0586,1
TRAIN_0587,1
TRAIN_0588,0
TRAIN_0589,0
TRAIN_0590,0
TRAIN_0591,1
TRAIN_0592,1
TRAIN_0593,1
TRAIN_0594,0
TRAIN_0595,1
TRAIN_0596,0
TRAIN_0597,1
TRAIN_0598,1
TRAIN_0599,0
TRAIN_0600,0
TRAIN_0601,1
TRAIN_0602,0
TRAIN_0603,1
TRAIN_0604,1
TRAIN_0605,1
TRAIN_0606,1
TRAIN_0607,1
TRAIN_0608,0
TRAIN_0609,0
TRAIN_0610,1
TRAIN_0611,0
TRAIN_0612,0
TRAIN_0613,1
TRAIN_0614,1
TRAIN_0615,1
TRAIN_0616,1
TRAIN_0617,1
TRAIN_0618,1
TRAIN_0619,0
TRAIN_0620,0
TRAIN_0621,0
TRAIN_0622,1
TRAIN_0623,0
TRAIN_0624,0
TRAIN_0625,1
TRAIN_0626,0
TRAIN_0627,1
TRAIN_0628,1
TRAIN_0629,1
TRAIN_0630,0
TRAIN_0631,1
TRAIN_0632,1
TRAIN_0633,0
TRAIN_0634,1
TRAIN_0635,1
TRAIN_0636,0
TRAIN_0637,1
TRAIN_0638,1
TRAIN_0639,1
TRAIN_0640,0
TRAIN_0641,1
TRAIN_0642,0
TRAIN_0643,1
TRAIN_0644,1
TRAIN_0645,0
TRAIN_0646,1
TRAIN_0647,1
TRAIN_0648,1
TRAIN_0649,0
TRAIN_0650,1
TRAIN_0651,0
TRAIN_0652,1
TRAIN_0653,1
TRAIN_0654,1
TRAIN_0655,0
TRAIN_0656,1
TRAIN_0657,0
TRAIN_0658,1
TRAIN_0659,1
TRAIN_0660,1
TRAIN_0661,1
TRAIN_0662,1
TRAIN_0663,0
TRAIN_0664,1
TRAIN_0665,1
TRAIN_0666,1
TRAIN_0667,1
TRAIN_0668,0
TRAIN_0669,1
TRAIN_0670,0
TRAIN_0671,1
TRAIN_0672,1
TRAIN_0673,1
TRAIN_0674,1
TRAIN_0675,1
TRAIN_0676,1
TRAIN_0677,0
TRAIN_0678,1
TRAIN_0679,0
TRAIN_0680,1
TRAIN_0681,1
TRAIN_0682,1
TRAIN_0683,1
TRAIN_0684,1
TRAIN_0685,1
TRAIN_0686,1
TRAIN_0687,1
TRAIN_0688,1
TRAIN_0689,0
TRAIN_0690,1
TRAIN_0691,1
TRAIN_0692,1
TRAIN_0693,1
TRAIN_0694,1
TRAIN_0695,1
TRAIN_0696,1
TRAIN_0697,0
TRAIN_0698,1
TRAIN_0699,1
TRAIN_0700,0
TRAIN_0701,0
TRAIN_0702,1
TRAIN_0703,0
TRAIN_0704,1
TRAIN_0705,1
TRAIN_0706,1
TRAIN_0707,1
TRAIN_0708,1
TRAIN_0709,0
TRAIN_0710,1
TRAIN_0711,0
TRAIN_0712,1
TRAIN_0713,0
TRAIN_0714,0
TRAIN_0715,0
TRAIN_0716,1
TRAIN_0717,0
TRAIN_0718,1
TRAIN_0719,0
TRAIN_0720,1
TRAIN_0721,1
TRAIN_0722,0
TRAIN_0723,0
TRAIN_0724,1
TRAIN_0725,1
TRAIN_0726,1
TRAIN_0727,1
TRAIN_0728,1
TRAIN_0729,1
TRAIN_0730,0
TRAIN_0731,1
TRAIN_0732,1
TRAIN_0733,0
TRAIN_0734,1
TRAIN_0735,1
TRAIN_0736,0
TRAIN_0737,0
TRAIN_0738,1
TRAIN_0739,0
TRAIN_0740,1
TRAIN_0741,1
TRAIN_0742,1
TRAIN_0743,0
TRAIN_0744,0
TRAIN_0745,1
TRAIN_0746,1
TRAIN_0747,1
TRAIN_0748,0
TRAIN_0749,0
TRAIN_0750,0
TRAIN_0751,1
TRAIN_0752,0
TRAIN_0753,1
TRAIN_0754,0
TRAIN_0755,1
TRAIN_0756,1
TRAIN_0757,1
TRAIN_0758,1
TRAIN_0759,1
TRAIN_0760,1
TRAIN_0761,1
TRAIN_0762,1
TRAIN_0763,1
TRAIN_0764,1
TRAIN_0765,1
TRAIN_0766,0
TRAIN_0767,0
TRAIN_0768,0
TRAIN_0769,1
TRAIN_0770,1
TRAIN_0771,0
TRAIN_0772,0
TRAIN_0773,0
TRAIN_0774,1
TRAIN_0775,1
TRAIN_0776,1
TRAIN_0777,1
TRAIN_0778,1
TRAIN_0779,1
TRAIN_0780,0
TRAIN_0781,1
TRAIN_0782,1
TRAIN_0783,1
TRAIN_0784,1
TRAIN_0785,1
TRAIN_0786,1
TRAIN_0787,1
TRAIN_0788,1
TRAIN_0789,1
TRAIN_0790,1
TRAIN_0791,1
TRAIN_0792,1
TRAIN_0793,1
TRAIN_0794,1
TRAIN_0795,0
TRAIN_0796,0
TRAIN_0797,1
TRAIN_0798,1
TRAIN_0799,1
TRAIN_0800,1
TRAIN_0801,0
TRAIN_0802,1
TRAIN_0803,0
TRAIN_0804,1
TRAIN_0805,1
TRAIN_0806,1
TRAIN_0807,1
TRAIN_0808,1
TRAIN_0809,0
TRAIN_0810,0
TRAIN_0811,1
TRAIN_0812,1
TRAIN_0813,0
TRAIN_0814,0
TRAIN_0815,1
TRAIN_0816,1
TRAIN_0817,1
TRAIN_0818,1
TRAIN_0819,0
TRAIN_0820,1
TRAIN_0821,0
TRAIN_0822,0
TRAIN_0823,1
TRAIN_0824,1
TRAIN_0825,1
TRAIN_0826,1
TRAIN_0827,1
TRAIN_0828,0
TRAIN_0829,1
TRAIN_0830,1
TRAIN_0831,1
TRAIN_0832,0
TRAIN_0833,1
TRAIN_0834,1
TRAIN_0835,0
TRAIN_0836,1
TRAIN_0837,1
TRAIN_0838,0
TRAIN_0839,1
TRAIN_0840,0
TRAIN_0841,1
TRAIN_0842,1
TRAIN_0843,0
TRAIN_0844,1
TRAIN_0845,1
TRAIN_0846,1
TRAIN_0847,0
TRAIN_0848,1
TRAIN_0849,0
TRAIN_0850,1
TRAIN_0851,1
TRAIN_0852,0
TRAIN_0853,1
TRAIN_0854,1
TRAIN_0855,1
TRAIN_0856,1
TRAIN_0857,1
TRAIN_0858,1
TRAIN_0859,1
TRAIN_0860,1
TRAIN_0861,1
TRAIN_0862,0
TRAIN_0863,1
TRAIN_0864,1
TRAIN_0865,1
TRAIN_0866,1
TRAIN_0867,1
TRAIN_0868,0
TRAIN_0869,1
TRAIN_0870,1
TRAIN_0871,1
TRAIN_0872,1
TRAIN_0873,1
TRAIN_0874,1
TRAIN_0875,0
TRAIN_0876,1
TRAIN_0877,1
TRAIN_0878,0
TRAIN_0879,1
TRAIN_0880,1
TRAIN_0881,1
TRAIN_0882,0
TRAIN_0883,1
TRAIN_0884,1
TRAIN_0885,0
TRAIN_0886,1
TRAIN_0887,0
TRAIN_0888,1
TRAIN_0889,0
TRAIN_0890,1
TRAIN_0891,1
TRAIN_0892,1
TRAIN_0893,1
TRAIN_0894,0
TRAIN_0895,1
TRAIN_0896,0
TRAIN_0897,1
TRAIN_0898,0
TRAIN_0899,0
TRAIN_0900,1
TRAIN_0901,1
TRAIN_0902,1
TRAIN_0903,1
TRAIN_0904,1
TRAIN_0905,1
TRAIN_0906,1
TRAIN_0907,1
TRAIN_0908,1
TRAIN_0909,1
TRAIN_0910,1
TRAIN_0911,1
TRAIN_0912,1
TRAIN_0913,1
TRAIN_0914,1
TRAIN_0915,0
TRAIN_0916,1
TRAIN_0917,1
TRAIN_0918,1
TRAIN_0919,1
TRAIN_0920,1
TRAIN_0921,1
TRAIN_0922,1
TRAIN_0923,1
TRAIN_0924,1
TRAIN_0925,1
TRAIN_0926,1
TRAIN_0927,1
TRAIN_0928,1
TRAIN_0929,1
TRAIN_0930,1
TRAIN_0931,1
TRAIN_0932,1
TRAIN_0933,1
TRAIN_0934,1
TRAIN_0935,1
TRAIN_0936,0
TRAIN_0937,0
TRAIN_0938,1
TRAIN_0939,1
TRAIN_0940,1
TRAIN_0941,0
TRAIN_0942,0
TRAIN_0943,0
TRAIN_0944,1
TRAIN_0945,1
TRAIN_0946,0
TRAIN_0947,1
TRAIN_0948,1
TRAIN_0949,0
TRAIN_0950,0
TRAIN_0951,0
TRAIN_0952,0
TRAIN_0953,1
TRAIN_0954,0
TRAIN_0955,1
TRAIN_0956,1
TRAIN_0957,1
TRAIN_0958,1
TRAIN_0959,1
TRAIN_0960,1
TRAIN_0961,0
TRAIN_0962,1
TRAIN_0963,1
TRAIN_0964,1
TRAIN_0965,0
TRAIN_0966,1
TRAIN_0967,1
TRAIN_0968,0
TRAIN_0969,0
TRAIN_0970,1
TRAIN_0971,1
TRAIN_0972,1
TRAIN_0973,1
TRAIN_0974,0
TRAIN_0975,1
TRAIN_0976,0
TRAIN_0977,0
TRAIN_0978,0
TRAIN_0979,1
TRAIN_0980,1
TRAIN_0981,0
TRAIN_0982,1
TRAIN_0983,1
TRAIN_0984,0
TRAIN_0985,1
TRAIN_0986,1
TRAIN_0987,1
TRAIN_0988,1
TRAIN_0989,1
TRAIN_0990,1
TRAIN_0991,1
TRAIN_0992,0
TRAIN_0993,1
TRAIN_0994,0
TRAIN_0995,0
TRAIN_0996,0
TRAIN_0997,1
TRAIN_0998,1
TRAIN_0999,1
TRAIN_1000,1
TRAIN_1001,1
TRAIN_1002,1
TRAIN_1003,1
TRAIN_1004,1
TRAIN_1005,0
TRAIN_1006,1
TRAIN_1007,0
TRAIN_1008,1
TRAIN_1009,1
TRAIN_1010,0
TRAIN_1011,0
TRAIN_1012,0
TRAIN_1013,0
TRAIN_1014,1
TRAIN_1015,1
TRAIN_1016,1
TRAIN_1017,0
TRAIN_1018,1
TRAIN_1019,1
TRAIN_1020,1
TRAIN_1021,1
TRAIN_1022,0
TRAIN_1023,1
TRAIN_1024,1
TRAIN_1025,0
TRAIN_1026,1
TRAIN_1027,0
TRAIN_1028,1
TRAIN_1029,1
TRAIN_1030,1
TRAIN_1031,0
TRAIN_1032,0
TRAIN_1033,1
TRAIN_1034,1
TRAIN_1035,0
TRAIN_1036,1
TRAIN_1037,1
TRAIN_1038,1
TRAIN_1039,0
TRAIN_1040,1
TRAIN_1041,1
TRAIN_1042,1
TRAIN_1043,0
TRAIN_1044,1
TRAIN_1045,0
TRAIN_1046,0
TRAIN_1047,1
TRAIN_1048,1
TRAIN_1049,0
TRAIN_1050,0
TRAIN_1051,1
TRAIN_1052,1
TRAIN_1053,0
TRAIN_1054,1
TRAIN_1055,1
